time,voltage,current
431161,0.8737587,0.01999386
431281,0.5537116,-0.01999328
431401,0.521504,-0.01999596
431521,0.5170605,-0.01999199
431641,0.5148036,-0.01999364
431761,0.511188,-0.01999243
431881,0.5133746,-0.01999677
432001,0.508914,-0.0199931
432121,0.5081195,-0.0199965
432241,0.5067157,-0.01999319
432361,0.5039836,-0.01999596
432481,0.5018371,-0.01999297
432601,0.5012145,-0.02000032
432721,0.4985951,-0.0199923
432841,0.4962677,-0.01999525
432961,0.4950166,-0.0199916
433081,0.494981,-0.01999567
433201,0.4924601,-0.01999236
433321,0.4917212,-0.01999169
433441,0.4887461,-0.01999134
433561,0.4884259,-0.01999491
433681,0.4882072,-0.01999476
433801,0.4861252,-0.01999384
433921,0.4822813,-0.01999196
434041,0.4829514,-0.01999283
434161,0.4823703,-0.01999523
434281,0.4808242,-0.01999359
434401,0.4779424,-0.01999493
434521,0.4760486,-0.01999303
434641,0.47276,-0.01999507
434761,0.4716808,-0.0199929
434881,0.4726184,-0.0199942
435001,0.4736435,-0.01999389
435121,0.4706861,-0.01999279
435241,0.4670942,-0.01999181
435361,0.4632756,-0.01999545
435481,0.4625018,-0.01999288
435601,0.4619467,-0.01999476
435721,0.4619207,-0.01999301
435841,0.4611195,-0.01999516
435961,0.4579183,-0.01999422
436081,0.4568999,-0.01999328
436201,0.4553367,-0.01999212
436321,0.4529864,-0.01999561
436441,0.45407,-0.01999536
436561,0.4489714,-0.01999297
436681,0.450161,-0.01999368
436801,0.4462638,-0.01999315
436921,0.4468257,-0.01999389
437041,0.4450853,-0.01999404
437161,0.4435362,-0.01999315
437281,0.4383272,-0.019991
437401,0.43701,-0.01999176
437521,0.4337496,-0.01999485
437641,0.4334027,-0.01999283
437761,0.4333211,-0.01999163
437881,0.4287332,-0.01999185
438001,0.4254082,-0.01999444
438121,0.4227518,-0.01999368
438241,0.4205772,-0.01999359
438361,0.4190881,-0.01999333
438481,0.4150316,-0.01999364
438601,0.3968192,-0.01999183
438721,0.7086645,0.01999659
438841,0.7091937,0.01999158
438961,0.7113894,0.01999592
439081,0.7115961,0.01999333
439201,0.7123811,0.0199973
439321,0.7130616,0.01999433
439441,0.7158946,0.01999509
439561,0.7155612,0.01999498
439681,0.7180488,0.01999534
439801,0.7201095,0.01999708
439921,0.7211176,0.01999594
440041,0.7223021,0.01999346
440161,0.7217469,0.01999292
440281,0.7243006,0.01999391
440401,0.72733,0.01999355
440521,0.7276177,0.01999145
440641,0.7292877,0.01999552
440761,0.7323973,0.01999113
440881,0.7322513,0.01999409
441001,0.7317302,0.01999265
441121,0.7345359,0.01999064
441241,0.7370206,0.01999429
441361,0.7386113,0.01999359
441481,0.741738,0.01999306
441601,0.7415289,0.01999563
441721,0.7416349,0.01999199
441841,0.7455925,0.0199944
441961,0.7481891,0.01999493
442081,0.7483307,0.01999516
442201,0.7505115,0.01999355
442321,0.7518162,0.01999404
442441,0.7551554,0.01999279
442561,0.7563067,0.01999493
442681,0.7579315,0.01999122
442801,0.759798,0.01999386
442921,0.7624117,0.01999252
443041,0.7658994,0.01999426
443161,0.7651767,0.01999406
443281,0.7712461,0.01999241
443401,0.7731274,0.01999042
443521,0.7755885,0.01999455
443641,0.7753127,0.01999185
443761,0.7792518,0.01999409
443881,0.7825029,0.01999386
444001,0.7848557,0.01999252
444121,0.7900194,0.01999364
444241,0.7929474,0.01999424
444361,0.7940667,0.01999113
444481,0.7952572,0.01999104
444601,0.7998441,0.01999141
444721,0.8062257,0.01999301
444841,0.8114776,0.01999438
444961,0.8131737,0.01999225
445081,0.8138942,0.01999096
445201,0.819149,0.01999315
445321,0.8274105,0.01999393
445441,0.8346083,0.01999178
445561,0.8436918,0.01999259
445681,0.8542683,0.0199916
445801,0.8684615,0.01999149
445921,0.8753005,0.01999109
446041,0.5220525,-0.01999319
446161,0.5182991,-0.01999245
446281,0.5167463,-0.01999319
446401,0.5125377,-0.01999417
446521,0.5139742,-0.01999529
446641,0.5092298,-0.01999033
446761,0.5088978,-0.01999511
446881,0.5057291,-0.01999406
447001,0.505303,-0.0199948
447121,0.5041971,-0.01999234
447241,0.5015154,-0.01999292
447361,0.4988048,-0.01999254
447481,0.4961225,-0.01999279
447601,0.4948705,-0.01999087
447721,0.4943821,-0.01999303
447841,0.4933385,-0.01999458
447961,0.4937876,-0.01999556
448081,0.4914574,-0.01999024
448201,0.4872318,-0.0199944
448321,0.4868175,-0.01999194
448441,0.4853662,-0.01999301
448561,0.4860541,-0.01999337
448681,0.482855,-0.01999359
448801,0.483485,-0.01999382
448921,0.4778994,-0.01999402
449041,0.4771434,-0.01999259
449161,0.4769077,-0.01999333
449281,0.4744647,-0.01999136
449401,0.4732907,-0.01999523
449521,0.4699419,-0.0199931
449641,0.469478,-0.01999395
449761,0.4676657,-0.01999029
449881,0.4678977,-0.01999377
450001,0.4654014,-0.01999279
450121,0.4659884,-0.01999243
450241,0.4625263,-0.01999163
450361,0.4628265,-0.0199902
450481,0.4576218,-0.01999236
