TestTime,Voltage_V,Current_mA
589,0.6529413,20.00
590,0.6528969,20.00
591,0.6530273,20.00
592,0.6521637,20.00
593,0.6526790,20.00
594,0.6531296,20.00
595,0.6520674,20.00
596,0.6523439,20.00
597,0.6531459,20.00
598,0.6534039,20.00
599,0.6531311,20.00
600,0.6535521,20.00
601,0.6536566,20.00
602,0.6538404,20.00
603,0.6534594,20.00
604,0.6534869,20.00
605,0.6530688,20.00
606,0.6535988,20.00
607,0.6527575,20.00
608,0.6516916,20.00
609,0.6520667,20.00
610,0.6498860,20.00
611,0.6517124,20.00
612,0.6533535,20.00
613,0.6523083,20.00
614,0.6524551,20.00
615,0.6502595,20.00
616,0.6511446,20.00
617,0.6521779,20.00
618,0.6524795,20.00
619,0.6524210,20.00
620,0.6532111,20.00
621,0.6522935,20.00
622,0.6518940,20.00
623,0.6512854,20.00
624,0.6523780,20.00
625,0.6516938,20.00
626,0.6511565,20.00
627,0.6525143,20.00
628,0.6527516,20.00
629,0.6521349,20.00
630,0.6530614,20.00
631,0.6524062,20.00
632,0.6525143,20.00
633,0.6530333,20.00
634,0.6529191,20.00
635,0.6518354,20.00
636,0.6524966,20.00
637,0.6522446,20.00
638,0.6522046,20.00
639,0.6517931,20.00
640,0.6531036,20.00
641,0.6523780,20.00
642,0.6534395,20.00
643,0.6533194,20.00
644,0.6524329,20.00
645,0.6537099,20.00
646,0.6536766,20.00
647,0.6536144,20.00
648,0.6547506,20.00
649,0.6536166,20.00
650,0.6525299,20.00
651,0.6541718,20.00
652,0.6534721,20.00
653,0.6532341,20.00
654,0.6527300,20.00
655,0.6524566,20.00
656,0.6521074,20.00
657,0.6529651,20.00
658,0.6520711,20.00
659,0.6531926,20.00
660,0.6534365,20.00
661,0.6518206,20.00
662,0.6519733,20.00
663,0.6518221,20.00
664,0.6522920,20.00
665,0.6522364,20.00
666,0.6526167,20.00
667,0.6536099,20.00
668,0.6542333,20.00
669,0.6544171,20.00
670,0.6543682,20.00
671,0.6552333,20.00
672,0.6535417,20.00
673,0.6547855,20.00
674,0.6548923,20.00
675,0.6540265,20.00
676,0.6528954,20.00
677,0.6534276,20.00
678,0.6528479,20.00
679,0.6525447,20.00
680,0.6534410,20.00
681,0.6532927,20.00
682,0.6546150,20.00
683,0.6541436,20.00
684,0.6541125,20.00
685,0.6547099,20.00
686,0.6538367,20.00
687,0.6546640,20.00
688,0.6544690,20.00
689,0.6538293,20.00
690,0.6538753,20.00
691,0.6535795,20.00
692,0.6548485,20.00
693,0.6541214,20.00
694,0.6535655,20.00
695,0.6544705,20.00
696,0.6553414,20.00
697,0.6548938,20.00
698,0.6552718,20.00
699,0.6545320,20.00
700,0.6547810,20.00
701,0.6539465,20.00
702,0.6528880,20.00
703,0.6538471,20.00
704,0.6549101,20.00
705,0.6557477,20.00
706,0.6561791,20.00
707,0.6546951,20.00
708,0.6550553,20.00
709,0.6552866,20.00
710,0.6546425,20.00
711,0.6547648,20.00
712,0.6543423,20.00
713,0.6537545,20.00
714,0.6542489,20.00
715,0.6536396,20.00
716,0.6544231,20.00
717,0.6543630,20.00
718,0.6548790,20.00
719,0.6549494,20.00
720,0.6542377,20.00
721,0.6552644,20.00
722,0.6545395,20.00
723,0.6544557,20.00
724,0.6538775,20.00
725,0.6548515,20.00
726,0.6546625,20.00
727,0.6548715,20.00
728,0.6557996,20.00
729,0.6557714,20.00
730,0.6541259,20.00
731,0.6546417,20.00
732,0.6546388,20.00
733,0.6542222,20.00
734,0.6534743,20.00
735,0.6540592,20.00
736,0.6549813,20.00
737,0.6543082,20.00
738,0.6548715,20.00
739,0.6551346,20.00
740,0.6556528,20.00
741,0.6561657,20.00
742,0.6557165,20.00
743,0.6565853,20.00
744,0.6562546,20.00
745,0.6556424,20.00
746,0.6555253,20.00
747,0.6549664,20.00
748,0.6549783,20.00
749,0.6535847,20.00
750,0.6553169,20.00
751,0.6549264,20.00
752,0.6554437,20.00
753,0.6553133,20.00
754,0.6570700,20.00
755,0.6552517,20.00
756,0.6554793,20.00
757,0.6542014,20.00
758,0.6547536,20.00
759,0.6546106,20.00
760,0.6549931,20.00
761,0.6549457,20.00
762,0.6535255,20.00
763,0.6546803,20.00
764,0.6553259,20.00
765,0.6555861,20.00
766,0.6547292,20.00
767,0.6563852,20.00
768,0.6566186,20.00
769,0.6557958,20.00
770,0.6553874,20.00
771,0.6556632,20.00
772,0.6559478,20.00
773,0.6554660,20.00
774,0.6559315,20.00
775,0.6559241,20.00
776,0.6563762,20.00
777,0.6559063,20.00
778,0.6555164,20.00
779,0.6556098,20.00
780,0.6558455,20.00
781,0.6560931,20.00
782,0.6565349,20.00
783,0.6560471,20.00
784,0.6563006,20.00
785,0.6572050,20.00
786,0.6570537,20.00
787,0.6555965,20.00
788,0.6558974,20.00
789,0.6555386,20.00
790,0.6548538,20.00
791,0.6555186,20.00
792,0.6565601,20.00
793,0.6556246,20.00
794,0.6555772,20.00
795,0.6561279,20.00
796,0.6561435,20.00
797,0.6562532,20.00
798,0.6551740,20.00
799,0.6549264,20.00
800,0.6558596,20.00
801,0.6555089,20.00
802,0.6542311,20.00
803,0.6552288,20.00
804,0.6561761,20.00
805,0.6559389,20.00
806,0.6555668,20.00
807,0.6556632,20.00
808,0.6562843,20.00
809,0.6569403,20.00
810,0.6563199,20.00
811,0.6559878,20.00
812,0.6543482,20.00
813,0.6557299,20.00
814,0.6559418,20.00
815,0.6560293,20.00
816,0.6554393,20.00
817,0.6558559,20.00
818,0.6567261,20.00
819,0.6566535,20.00
820,0.6564949,20.00
821,0.6552407,20.00
822,0.6561012,20.00
823,0.6568032,20.00
824,0.6565675,20.00
825,0.6578654,20.00
826,0.6563155,20.00
827,0.6563970,20.00
828,0.6565171,20.00
829,0.6567305,20.00
830,0.6566438,20.00
831,0.6563451,20.00
832,0.6566120,20.00
833,0.6560887,20.00
834,0.6563155,20.00
835,0.6570960,20.00
836,0.6570552,20.00
837,0.6554363,20.00
838,0.6559182,20.00
839,0.6563636,20.00
840,0.6554245,20.00
841,0.6558396,20.00
842,0.6562228,20.00
843,0.6568224,20.00
844,0.6569129,20.00
845,0.6568506,20.00
846,0.6565557,20.00
847,0.6569737,20.00
848,0.6565126,20.00
849,0.6556157,20.00
850,0.6563784,20.00
851,0.6568550,20.00
852,0.6562369,20.00
853,0.6567706,20.00
854,0.6559745,20.00
855,0.6572724,20.00
856,0.6572242,20.00
857,0.6565571,20.00
858,0.6564726,20.00
859,0.6564074,20.00
860,0.6562932,20.00
861,0.6558678,20.00
862,0.6561005,20.00
863,0.6562072,20.00
864,0.6564237,20.00
865,0.6570300,20.00
866,0.6571887,20.00
867,0.6572198,20.00
868,0.6570841,20.00
869,0.6569055,20.00
870,0.6572702,20.00
871,0.6570270,20.00
872,0.6567276,20.00
873,0.6560723,20.00
874,0.6573191,20.00
875,0.6565897,20.00
876,0.6570018,20.00
877,0.6576267,20.00
878,0.6579825,20.00
879,0.6570760,20.00
880,0.6576067,20.00
881,0.6576556,20.00
882,0.6580352,20.00
883,0.6577349,20.00
884,0.6566698,20.00
885,0.6576533,20.00
886,0.6586059,20.00
887,0.6587868,20.00
888,0.6582508,20.00
889,0.6576408,20.00
890,0.6569877,20.00
891,0.6565349,20.00
892,0.6568284,20.00
893,0.6566416,20.00
894,0.6567750,20.00
895,0.6569529,20.00
896,0.6559849,20.00
897,0.6566194,20.00
898,0.6574985,20.00
899,0.6580418,20.00
900,0.6583894,20.00
901,0.6597800,20.00
902,0.6585214,20.00
903,0.6572620,20.00
904,0.6569277,20.00
905,0.6569025,20.00
906,0.6576942,20.00
907,0.6576719,20.00
908,0.6572213,20.00
909,0.6566127,20.00
910,0.6568395,20.00
911,0.6573984,20.00
912,0.6577016,20.00
913,0.6584250,20.00
914,0.6583835,20.00
915,0.6588638,20.00
916,0.6592225,20.00
917,0.6578854,20.00
918,0.6574932,20.00
919,0.6569343,20.00
920,0.6576467,20.00
921,0.6576296,20.00
922,0.6573858,20.00
923,0.6574392,20.00
924,0.6568462,20.00
925,0.6574599,20.00
926,0.6568765,20.00
927,0.6577623,20.00
928,0.6579810,20.00
929,0.6593605,20.00
930,0.6580366,20.00
931,0.6585236,20.00
932,0.6576141,20.00
933,0.6571997,20.00
934,0.6579136,20.00
935,0.6585659,20.00
936,0.6586074,20.00
937,0.6591514,20.00
938,0.6588787,20.00
939,0.6580618,20.00
940,0.6577579,20.00
941,0.6581730,20.00
942,0.6581863,20.00
943,0.6586178,20.00
944,0.6575889,20.00
945,0.6573102,20.00
946,0.6585881,20.00
947,0.6581337,20.00
948,0.6575689,20.00
949,0.6578023,20.00
950,0.6579462,20.00
951,0.6581241,20.00
952,0.6587623,20.00
953,0.6584072,20.00
954,0.6571775,20.00
955,0.6579610,20.00
956,0.6576601,20.00
957,0.6571783,20.00
958,0.6568447,20.00
959,0.6580840,20.00
960,0.6591144,20.00
961,0.6579744,20.00
962,0.6575948,20.00
963,0.6582679,20.00
964,0.6583620,20.00
965,0.6583294,20.00
966,0.6584302,20.00
967,0.6577957,20.00
968,0.6582701,20.00
969,0.6587141,20.00
970,0.6590795,20.00
971,0.6595976,20.00
972,0.6591025,20.00
973,0.6602284,20.00
974,0.6595117,20.00
975,0.6586199,20.00
976,0.6575237,20.00
977,0.6584976,20.00
978,0.6583568,20.00
979,0.6585674,20.00
980,0.6594865,20.00
981,0.6598749,20.00
982,0.6591877,20.00
983,0.6588490,20.00
984,0.6592671,20.00
985,0.6574659,20.00
986,0.6578335,20.00
987,0.6588920,20.00
988,0.6594242,20.00
989,0.6594694,20.00
990,0.6601225,20.00
991,0.6592107,20.00
992,0.6593961,20.01
993,0.6587808,20.00
994,0.6582301,20.00
995,0.6588283,20.00
996,0.6581700,20.00
997,0.6576571,20.00
998,0.6571768,20.00
999,0.6576734,20.00
1000,0.6578736,20.00
1001,0.6590047,20.00
1002,0.6599082,20.00
1003,0.6591321,20.00
1004,0.6592997,20.00
1005,0.6605687,20.00
1006,0.6602381,20.00
1007,0.6595124,20.00
1008,0.6595235,20.00
1009,0.6604516,20.00
1010,0.6592144,20.00
1011,0.6598571,20.00
1012,0.6605234,20.00
1013,0.6596688,20.00
1014,0.6601024,20.00
1015,0.6598126,20.00
1016,0.6595725,20.00
1017,0.6582983,20.00
1018,0.6593308,20.00
1019,0.6592018,20.00
1020,0.6592863,20.00
1021,0.6593397,20.00
1022,0.6594657,20.00
1023,0.6588364,20.00
1024,0.6598563,20.00
1025,0.6598571,20.00
1026,0.6597599,20.00
1027,0.6605264,20.00
1028,0.6602255,20.00
1029,0.6595932,20.00
1030,0.6587690,20.00
1031,0.6590002,20.00
1032,0.6595309,20.00
1033,0.6596392,20.00
1034,0.6594198,20.00
1035,0.6596051,20.00
1036,0.6593242,20.00
1037,0.6602699,20.00
1038,0.6605827,20.00
1039,0.6600765,20.00
1040,0.6606221,20.00
1041,0.6607970,20.00
1042,0.6608356,20.00
1043,0.6597444,20.00
1044,0.6594924,20.00
1045,0.6596822,20.00
1046,0.6597682,20.00
1047,0.6598912,20.00
1048,0.6591877,20.00
1049,0.6591166,20.00
1050,0.6598408,20.00
1051,0.6600736,20.00
1052,0.6601136,20.00
1053,0.6600550,20.00
1054,0.6605368,20.00
1055,0.6601914,20.00
1056,0.6590906,20.00
1057,0.6601447,20.00
1058,0.6595962,20.00
1059,0.6591047,20.00
1060,0.6602203,20.00
1061,0.6604575,20.00
1062,0.6606309,20.00
1063,0.6603626,20.00
1064,0.6601810,20.00
1065,0.6602767,20.00
1066,0.6606828,20.00
1067,0.6595354,20.00
1068,0.6599623,20.00
1069,0.6602114,20.00
1070,0.6607324,20.00
1071,0.6601936,20.00
1072,0.6600713,20.00
1073,0.6600112,20.00
1074,0.6604353,20.00
1075,0.6607050,20.00
1076,0.6599467,20.00
1077,0.6611995,20.00
1078,0.6612750,20.00
1079,0.6617324,20.00
1080,0.6605234,20.00
1081,0.6599935,20.00
1082,0.6610550,20.00
1083,0.6605198,20.00
1084,0.6604382,20.00
1085,0.6590298,20.00
1086,0.6595058,20.00
1087,0.6602470,20.00
1088,0.6600499,20.00
1089,0.6597044,20.00
1090,0.6604871,20.00
1091,0.6602944,20.00
1092,0.6603507,20.00
1093,0.6599193,20.00
1094,0.6603507,20.00
1095,0.6597148,20.00
1096,0.6598408,20.00
1097,0.6610268,20.00
1098,0.6613396,20.00
1099,0.6609533,20.00
1100,0.6618407,20.00
1101,0.6616709,20.00
1102,0.6622602,20.00
